group_name,page_name,member_name,birth_name,birth_date,agency_name,agency_href,update_at
NCT,Johnny_(NCT),Johnny,John Jun Suh[1],1995-02-09,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Yuta,Yuta,Nakamoto Yuta (中本 悠太),1995-10-26,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Kun_(NCT),Kun,Qián Kūn (錢錕),1996-01-01,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Doyoung_(NCT),Doyoung,Kim Dong-yeong (김동영),1996-02-01,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Ten_(NCT),Ten,Chittaphon Leechaiyapornkul(ชิตพล ลี้ชัยพรกุล),1996-02-27,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jungwoo_(NCT),Jungwoo,Kim Jung-woo (김정우),1998-02-19,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Mark_(NCT),Mark,Mark Lee,1999-08-02,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Xiao_Jun,Xiao Jun,Xiào Déjùn (肖德俊),1999-08-08,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Hendery,Hendery,Wong Kun-hang (黃冠亨),1999-09-28,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Renjun,Renjun,Huáng Rénjùn (黄仁俊),2000-03-23,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jeno_(NCT),Jeno,Lee Je-no (이제노),2000-04-23,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Haechan,Haechan,Lee Dong-hyuck (이동혁),2000-06-06,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jaemin_(NCT),Jaemin,Na Jae-min (나재민),2000-08-13,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Yangyang,Yangyang,Liu Yang-yang (劉揚揚),2000-10-10,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Chenle,Chenle,Zhōng Chénlè (钟辰乐),2001-11-22,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jisung_(NCT),Jisung,Park Ji-sung (박지성),2002-02-05,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Sion_(NCT),Sion,Oh Si-on (오시온),2002-05-11,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Riku_(NCT),Riku,Maeda Riku (前田 陸),2003-06-28,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Yushi,Yushi,Tokunō Yūshi (得能 勇志),2004-04-05,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jaehee_(NCT),Jaehee,Kim Dae-young (김대영),2005-06-21,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Ryo_(NCT),Ryo,Hirose Ryō (廣瀬 遼),2007-08-04,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Sakuya,Sakuya,Fujinaga Sakuya (藤永 咲哉),2007-11-18,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Taeyong_(NCT),Taeyong,Lee Tae-yong (이태용),1995-07-01,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Jaehyun_(NCT),Jaehyun,Jeong Jae-hyun (정재현),1997-02-14,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
NCT,Winwin,Winwin,Dǒng Sīchéng (董思成),1997-10-28,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:32:50
BTS,Jin_(BTS),Jin,Kim Seok-jin (김석진),1992-12-04,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,Suga,Suga,Min Yoon-gi (민윤기),1993-03-09,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,J-Hope,J-Hope,Jung Ho-seok (정호석),1994-02-18,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,RM,RM,Kim Nam-joon (김남준),1994-09-12,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,Jimin_(BTS),Jimin,Park Ji-min (박지민),1995-10-13,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,V_(BTS),V,Kim Tae-hyung (김태형),1995-12-30,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
BTS,Jung_Kook,Jung Kook,Jeon Jeong-guk (전정국),1997-09-01,BigHit Music,https://kpop.fandom.com/wiki/BigHit_Music,2025-09-23 15:32:50
Stray Kids,Bang_Chan,Bang Chan,Christopher Chahn Bahng,1997-10-03,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Lee_Know,Lee Know,Lee Min-ho (이민호),1998-10-25,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Changbin_(Stray_Kids),Changbin,Seo Chang-bin (서창빈),1999-08-11,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Hyunjin_(Stray_Kids),Hyunjin,Hwang Hyun-jin (황현진),2000-03-20,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Han_(Stray_Kids),Han,Han Ji-sung (한지성),2000-09-14,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Felix,Felix,Felix Yongbok Lee,2000-09-15,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,Seungmin_(Stray_Kids),Seungmin,Kim Seung-min (김승민),2000-09-22,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
Stray Kids,I.N_(Stray_Kids),I.N,Yang Jeong-in (양정인),2001-02-08,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:32:50
SEVENTEEN,S.Coups,S.Coups,Choi Seung-cheol (최승철),1995-08-08,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Joshua,Joshua,Joshua Hong(English)Hong Ji-soo (홍지수)(Korean),1995-12-30,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Jun_(SEVENTEEN),Jun,Wén Jùnhuī (文俊辉),1996-06-10,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,DK_(SEVENTEEN),DK,Lee Seok-min (이석민),1997-02-18,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Mingyu_(SEVENTEEN),Mingyu,Kim Min-gyu (김민규),1997-04-06,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,The8,The8,Xu Minghao (徐明浩),1997-11-07,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Seungkwan,Seungkwan,Boo Seung-kwan (부승관),1998-01-16,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Vernon,Vernon,Hansol Vernon Chwe (한솔 버논 최),1998-02-18,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Dino_(SEVENTEEN),Dino,Lee Chan (이찬),1999-02-11,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Jeonghan,Jeonghan,Yoon Jeong-han (윤정한),1995-10-04,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Hoshi,Hoshi,Kwon Soon-young (권순영),1996-06-15,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Wonwoo_(SEVENTEEN),Wonwoo,Jeon Won-woo (전원우),1996-07-17,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
SEVENTEEN,Woozi,Woozi,Lee Ji-hoon (이지훈),1996-11-22,Pledis Entertainment,https://kpop.fandom.com/wiki/Pledis_Entertainment,2025-09-23 15:32:50
NEEZ,G_me,g_me,Kim Hyo-jin (김효진),1992-05-04,Startree Entertainment,https://kpop.fandom.com/wiki/Startree_Entertainment,2025-09-23 15:32:50
NEEZ,K_(NEEZ),K,Kyung Taek (경택),2001-02-04,Startree Entertainment,https://kpop.fandom.com/wiki/Startree_Entertainment,2025-09-23 15:32:50
NEEZ,Min_Seong_(NEEZ),Min Seong,Kwak Min-seong (곽민성),,Startree Entertainment,https://kpop.fandom.com/wiki/Startree_Entertainment,2025-09-23 15:32:50
